geneid, patientid, expression value
0, 0, -159169.78
0, 1, 1069854.46
0, 2, 1849478.14
0, 3, 409101.55
0, 4, 1325410.96
0, 5, 36790.70
0, 6, 1004284.58
0, 7, 879932.85
0, 8, 959338.88
0, 9, -93990.49
0, 10, 351795.04
0, 11, 26001.54
0, 12, 534567.56
0, 13, 1517155.81
0, 14, 855218.27
0, 15, 1973569.83
0, 16, 208017.61
0, 17, 398103.69
0, 18, 690800.30
0, 19, 866794.04
0, 20, 829766.10
0, 21, 956609.57
0, 22, 800131.33
0, 23, 1325037.80
0, 24, 1147353.05
0, 25, 158458.13
0, 26, 1469022.09
0, 27, -168566.89
0, 28, 1167484.12
0, 29, 819389.24
0, 30, 166113.70
0, 31, 271237.29
0, 32, 1446644.04
0, 33, 485736.40
0, 34, 1889488.94
0, 35, 797019.82
0, 36, 1919256.81
0, 37, 13384.48
0, 38, -125286.22
0, 39, 708272.02
0, 40, 1918462.97
0, 41, 476286.21
0, 42, 495008.18
0, 43, -185232.99
0, 44, 441223.54
0, 45, 685774.82
0, 46, 654018.54
0, 47, 1672923.90
0, 48, 1852229.22
0, 49, 1581139.72
0, 50, 332474.39
0, 51, 1076203.97
0, 52, -65942.84
0, 53, 496005.42
0, 54, 286044.07
0, 55, 1713380.86
0, 56, 1240806.87
0, 57, 1328846.47
0, 58, 291129.14
0, 59, 548623.24
0, 60, 190288.04
0, 61, 1366965.67
0, 62, 1152624.75
0, 63, 92475.50
0, 64, 1350777.73
0, 65, 1117759.34
0, 66, 636934.53
0, 67, 1348198.32
0, 68, 1684085.55
0, 69, 1048326.61
0, 70, 508633.48
0, 71, -41615.21
0, 72, 1069252.33
0, 73, -47290.47
0, 74, 771407.35
0, 75, 618766.45
0, 76, 1169570.59
0, 77, 1646611.74
0, 78, 1375263.19
0, 79, 191435.16
0, 80, 706647.84
0, 81, 898907.59
0, 82, 349134.94
0, 83, 329520.61
0, 84, 217327.82
0, 85, 635106.54
0, 86, 669597.64
0, 87, 1489675.28
0, 88, 1177170.07
0, 89, 1299625.38
0, 90, 951246.30
0, 91, -109721.09
0, 92, 662871.10
0, 93, 1001996.56
0, 94, -31881.94
0, 95, 1488324.27
0, 96, 689097.06
0, 97, 781562.51
0, 98, 1090567.16
0, 99, 220538.00
1, 0, -30519.11
1, 1, 669757.86
1, 2, 1613842.76
1, 3, 1496631.14
1, 4, 242315.63
1, 5, 1248938.33
1, 6, 274048.50
1, 7, 912479.06
1, 8, -145965.18
1, 9, 42250.86
1, 10, 1972221.83
1, 11, 1827032.17
1, 12, 1675536.90
1, 13, -184782.01
1, 14, 1815142.17
1, 15, 672537.30
1, 16, 1884574.31
1, 17, 261871.33
1, 18, 1498038.84
1, 19, 588331.59
1, 20, 187726.03
1, 21, 1210736.53
1, 22, 1951139.24
1, 23, 1696487.16
1, 24, 1033104.69
1, 25, 1059364.76
1, 26, 1964222.55
1, 27, 391464.14
1, 28, 1701506.01
1, 29, 1102419.11
1, 30, 1151871.82
1, 31, 138731.92
1, 32, 1293618.07
1, 33, 713943.21
1, 34, 1932783.35
1, 35, 252233.88
1, 36, 987844.55
1, 37, 379344.92
1, 38, 333426.89
1, 39, 460755.73
1, 40, 1553999.76
1, 41, 1715898.52
1, 42, 1634396.17
1, 43, 1737883.28
1, 44, 640347.09
1, 45, 826363.51
1, 46, 1961425.79
1, 47, -64489.21
1, 48, 674265.81
1, 49, -186489.17
1, 50, 1016061.44
1, 51, 997070.15
1, 52, 1916344.06
1, 53, 772825.85
1, 54, 792852.47
1, 55, 694258.86
1, 56, 1453732.64
1, 57, 1876326.32
1, 58, 1067188.58
1, 59, 997194.21
1, 60, 545960.05
1, 61, 1168003.25
1, 62, 1090012.01
1, 63, 1751586.19
1, 64, 1213528.80
1, 65, 1514181.26
1, 66, 753932.62
1, 67, 1320235.23
1, 68, 1680938.58
1, 69, 1170583.40
1, 70, 523449.42
1, 71, 1942837.64
1, 72, 1133260.41
1, 73, 253355.84
1, 74, 606496.48
1, 75, 52258.97
1, 76, 1351205.74
1, 77, 1039853.44
1, 78, 1678624.38
1, 79, 889105.85
1, 80, 400790.74
1, 81, 1195198.50
1, 82, 820710.79
1, 83, 209894.19
1, 84, 233216.63
1, 85, 272053.19
1, 86, 1412271.01
1, 87, -127226.07
1, 88, 1616744.97
1, 89, 1805055.55
1, 90, 1918230.94
1, 91, 1716705.53
1, 92, 1012547.03
1, 93, 1630809.50
1, 94, -151244.96
1, 95, 31793.75
1, 96, 117773.63
1, 97, 903819.76
1, 98, 679071.82
1, 99, 1873078.51
2, 0, 847304.23
2, 1, 1792647.28
2, 2, 319897.37
2, 3, 1063773.52
2, 4, 1968568.24
2, 5, 1330972.46
2, 6, 749316.51
2, 7, 1587573.71
2, 8, 1882964.81
2, 9, 1503668.92
2, 10, 1370600.62
2, 11, 960069.23
2, 12, 58806.50
2, 13, 468240.41
2, 14, -159420.37
2, 15, 1029369.37
2, 16, 296057.36
2, 17, 302798.55
2, 18, 1718515.22
2, 19, 1385053.70
2, 20, 1732720.81
2, 21, 1171830.24
2, 22, 343155.31
2, 23, 1295773.73
2, 24, 760633.77
2, 25, 1267881.87
2, 26, 372485.97
2, 27, 1683983.54
2, 28, 1469305.23
2, 29, 1953965.09
2, 30, 1096719.14
2, 31, 1418205.80
2, 32, 730233.98
2, 33, -122414.18
2, 34, 1270377.21
2, 35, 1283308.52
2, 36, 947245.66
2, 37, 1849729.68
2, 38, 861852.25
2, 39, 750019.65
2, 40, 864699.73
2, 41, 796159.06
2, 42, 516698.68
2, 43, 885984.91
2, 44, -29009.53
2, 45, -159684.57
2, 46, 1454537.68
2, 47, 1710765.93
2, 48, 1992245.57
2, 49, 666204.12
2, 50, 881775.72
2, 51, 1820309.20
2, 52, 1962685.81
2, 53, 381023.40
2, 54, 679312.18
2, 55, 1550802.73
2, 56, 1498880.42
2, 57, 238347.28
2, 58, 103211.25
2, 59, 689419.23
2, 60, 854152.77
2, 61, 165887.98
2, 62, 774385.80
2, 63, 488514.50
2, 64, 158943.40
2, 65, 102051.27
2, 66, 1774361.98
2, 67, 120025.03
2, 68, 1807358.70
2, 69, 1355974.56
2, 70, 1998352.97
2, 71, 534280.45
2, 72, 1058164.29
2, 73, -177014.04
2, 74, -227.64
2, 75, 390069.16
2, 76, 854666.77
2, 77, 702789.82
2, 78, 1417620.71
2, 79, 729065.25
2, 80, 1556623.58
2, 81, 1793394.57
2, 82, 1816499.15
2, 83, 1539136.57
2, 84, 1189885.11
2, 85, 1978944.91
2, 86, 420988.21
2, 87, -61028.56
2, 88, 1898408.99
2, 89, 1834349.63
2, 90, 728045.40
2, 91, 1335609.94
2, 92, 339568.41
2, 93, 69403.47
2, 94, 958760.17
2, 95, 1959377.37
2, 96, 1948853.42
2, 97, 1344509.89
